ablation_variant,entropy_coef_end,seed,mean_return,std_return
without_annealing,0.01,0,-5.744917684329921,1.0586076938967417
without_annealing,0.01,1,-5.805658778242519,0.9823634263297399
without_annealing,0.01,2,-5.795410757026684,1.0011100565130395
without_annealing,0.01,3,-5.871346096239755,0.970120112208561
without_annealing,0.01,4,-5.642338308459642,0.8442140751713813
full_model,0.001,0,-6.078730518571639,1.075037209669934
full_model,0.001,1,-5.882986411794697,1.0117766201610534
full_model,0.001,2,-5.755884112776065,0.9988880906798325
full_model,0.001,3,-5.792149629002328,0.9387924432570671
full_model,0.001,4,-5.676493882289631,0.8593386429917362
aggressive_decay,0.0001,0,-5.790680294282389,1.0667268857415695
aggressive_decay,0.0001,1,-5.903431546532362,1.001427856755572
aggressive_decay,0.0001,2,-5.806099536616281,0.9941049815321681
aggressive_decay,0.0001,3,-5.968898201746213,0.9968842475644508
aggressive_decay,0.0001,4,-5.611965420331579,0.859944817474629
